sentence1,sentence2,similarity
She rode her bicycle through the park every morning.,She rode her bicycle through the park every morning.,1.0000001192092896
She rode her bicycle through the park every morning.,The bicycle leaned against the old oak tree.,0.3126917779445648
She rode her bicycle through the park every morning.,He fixed a flat tire on his bicycle after school.,0.36048561334609985
She rode her bicycle through the park every morning.,The red bicycle was a birthday gift from his grandparents.,0.2329363226890564
She rode her bicycle through the park every morning.,They went on a bicycle tour across Europe.,0.27776384353637695
She rode her bicycle through the park every morning.,Her bicycle had a basket full of flowers.,0.5617167353630066
She rode her bicycle through the park every morning.,The bicycle chain slipped off during the uphill climb.,0.2422330677509308
She rode her bicycle through the park every morning.,He stored his bicycle in the garage next to the lawnmower.,0.36561083793640137
She rode her bicycle through the park every morning.,A new bicycle can be quite expensive.,0.20482990145683289
She rode her bicycle through the park every morning.,The child learned to ride a bicycle without training wheels.,0.3000386953353882
She rode her bicycle through the park every morning.,She bought a folding bicycle for her commute.,0.5193912982940674
She rode her bicycle through the park every morning.,The bicycle path follows the river all the way downtown.,0.4163408577442169
She rode her bicycle through the park every morning.,A bicycle bell rang from around the corner.,0.3254823088645935
She rode her bicycle through the park every morning.,His bicycle had glowing LED lights on the spokes.,0.2906495928764343
She rode her bicycle through the park every morning.,The stolen bicycle was found a week later.,0.34241676330566406
She rode her bicycle through the park every morning.,I rode my bicycle to the library.,0.4280206561088562
She rode her bicycle through the park every morning.,A bicycle repair shop opened near the university.,0.1796392798423767
She rode her bicycle through the park every morning.,The bicycle race drew a large crowd.,0.28104108572006226
She rode her bicycle through the park every morning.,He balanced carefully as he mounted the bicycle.,0.3717937469482422
She rode her bicycle through the park every morning.,The old bicycle had rust on the frame.,0.2908703684806824
She rode her bicycle through the park every morning.,She wore a helmet while riding her bicycle.,0.5744584798812866
She rode her bicycle through the park every morning.,A bicycle courier sped past us on the sidewalk.,0.28627416491508484
She rode her bicycle through the park every morning.,The tandem bicycle looked like a lot of fun.,0.2850423753261566
She rode her bicycle through the park every morning.,We rented bicycles and explored the countryside.,0.35906535387039185
She rode her bicycle through the park every morning.,His bicycle chain snapped mid-ride.,0.3372368812561035
She rode her bicycle through the park every morning.,The bicycle trail led deep into the forest.,0.38148024678230286
She rode her bicycle through the park every morning.,Her bicycle had pink streamers on the handlebars.,0.47025206685066223
She rode her bicycle through the park every morning.,The museum displayed a vintage penny-farthing bicycle.,0.28750836849212646
She rode her bicycle through the park every morning.,I locked my bicycle to the rack outside the café.,0.40555810928344727
She rode her bicycle through the park every morning.,The boy's first bicycle was bright green.,0.25305429100990295
She rode her bicycle through the park every morning.,He performed a trick on his BMX bicycle.,0.37830859422683716
She rode her bicycle through the park every morning.,She used her bicycle to get to work every day.,0.6834343671798706
She rode her bicycle through the park every morning.,A bicycle tire squeaked as it turned.,0.2958804965019226
She rode her bicycle through the park every morning.,The bicycle frame was made of lightweight carbon fiber.,0.17791292071342468
She rode her bicycle through the park every morning.,He stored his bicycle on a wall-mounted hook.,0.3562961220741272
She rode her bicycle through the park every morning.,A bicycle parade rolled down Main Street.,0.2877997159957886
She rode her bicycle through the park every morning.,Her bicycle ride was interrupted by a sudden downpour.,0.4577016234397888
She rode her bicycle through the park every morning.,The bicycle bell jingled cheerfully.,0.3178550899028778
She rode her bicycle through the park every morning.,He rode his bicycle in the annual charity event.,0.42704707384109497
She rode her bicycle through the park every morning.,The park is a perfect place for a bicycle picnic.,0.41606593132019043
She rode her bicycle through the park every morning.,A group of kids raced their bicycles around the block.,0.17495182156562805
She rode her bicycle through the park every morning.,She decorated her bicycle with lights for the festival.,0.46663957834243774
She rode her bicycle through the park every morning.,The police officer followed the suspect on a bicycle.,0.29073554277420044
She rode her bicycle through the park every morning.,I found an abandoned bicycle in the alley.,0.29963114857673645
She rode her bicycle through the park every morning.,A bicycle helmet is essential for safety.,0.20418134331703186
She rode her bicycle through the park every morning.,He modified his bicycle for long-distance touring.,0.3147117495536804
She rode her bicycle through the park every morning.,The bicycle ride gave him a sense of freedom.,0.36141616106033325
She rode her bicycle through the park every morning.,Her bicycle was stolen from the train station.,0.5259120464324951
She rode her bicycle through the park every morning.,The bicycle club meets every Saturday morning.,0.4315834045410156
She rode her bicycle through the park every morning.,A man balanced three boxes on the back of his bicycle.,0.14986567199230194
She rode her bicycle through the park every morning.,The bicycle trail winds through beautiful scenery.,0.3786623477935791
She rode her bicycle through the park every morning.,He added a basket to his bicycle for groceries.,0.3793935179710388
She rode her bicycle through the park every morning.,A bicycle pump hung from the garage wall.,0.27262306213378906
She rode her bicycle through the park every morning.,His bicycle squeaked with every pedal stroke.,0.3626794219017029
She rode her bicycle through the park every morning.,She wheeled her bicycle into the elevator.,0.5489975810050964
She rode her bicycle through the park every morning.,The bicycle glided smoothly down the hill.,0.36320871114730835
She rode her bicycle through the park every morning.,A bicycle license plate hung from the rear fender.,0.15252459049224854
She rode her bicycle through the park every morning.,He cleaned the mud off his bicycle after the ride.,0.33291858434677124
She rode her bicycle through the park every morning.,The bicycle basket carried a loaf of bread and some apples.,0.37021827697753906
She rode her bicycle through the park every morning.,They customized their bicycle with stickers and paint.,0.21855011582374573
She rode her bicycle through the park every morning.,She replaced the worn-out tires on her bicycle.,0.5046448111534119
She rode her bicycle through the park every morning.,The bicycle handlebar grips were peeling.,0.17665022611618042
She rode her bicycle through the park every morning.,He coasted downhill on his bicycle with no hands.,0.29990077018737793
She rode her bicycle through the park every morning.,A bicycle mechanic tuned up the gears and brakes.,0.20083582401275635
She rode her bicycle through the park every morning.,The new bicycle lock is virtually unbreakable.,0.15623348951339722
She rode her bicycle through the park every morning.,They donated a bicycle to a local charity.,0.3319092392921448
She rode her bicycle through the park every morning.,The bicycle tour lasted five days and covered 200 miles.,0.31448274850845337
She rode her bicycle through the park every morning.,He slipped on the wet pavement while riding his bicycle.,0.33692774176597595
She rode her bicycle through the park every morning.,Her bicycle horn was shaped like a duck.,0.4406193196773529
She rode her bicycle through the park every morning.,The police officer rode a bicycle through the park.,0.4896703362464905
She rode her bicycle through the park every morning.,She taught her little brother how to ride a bicycle.,0.511527419090271
She rode her bicycle through the park every morning.,He jumped a ramp on his bicycle at the skatepark.,0.4064013957977295
She rode her bicycle through the park every morning.,The bicycle bell echoed through the narrow alley.,0.2841007709503174
She rode her bicycle through the park every morning.,His old bicycle still rides like new.,0.2988415062427521
She rode her bicycle through the park every morning.,The bicycle leaned awkwardly against the fence.,0.3025737404823303
She rode her bicycle through the park every morning.,She found a bicycle route that avoided traffic.,0.5334898233413696
She rode her bicycle through the park every morning.,The tandem bicycle made them laugh as they wobbled together.,0.29120635986328125
She rode her bicycle through the park every morning.,He bought a secondhand bicycle for a good price.,0.25648945569992065
She rode her bicycle through the park every morning.,The bicycle frame cracked during the crash.,0.2732807397842407
She rode her bicycle through the park every morning.,A squirrel darted in front of his bicycle.,0.2930028438568115
She rode her bicycle through the park every morning.,The girl’s bicycle had training wheels on it.,0.48062700033187866
She rode her bicycle through the park every morning.,The bicycle's front tire was completely flat.,0.3248550295829773
She rode her bicycle through the park every morning.,A bicycle messenger delivered the package right on time.,0.27983036637306213
She rode her bicycle through the park every morning.,He repaired the bicycle with a multitool.,0.28930574655532837
She rode her bicycle through the park every morning.,Her bicycle had gears that shifted effortlessly.,0.4867655038833618
