sentence1,sentence2,similarity
A man is playing a guitar,A man is playing a guitar,1.0000001192092896
A man is playing a guitar,A man is playing the guitar,0.9925347566604614
A man is playing a guitar,A guy is playing a guitar,0.923555850982666
A man is playing a guitar,A guy is playing the guitar,0.9123008251190186
A man is playing a guitar,The man is playing a guitar,0.9837799072265625
A man is playing a guitar,The man is playing the guitar,0.9679622650146484
A man is playing a guitar,A man is strumming a guitar,0.7949092388153076
A man is playing a guitar,A man is strumming the guitar,0.7852669954299927
A man is playing a guitar,A man is playing an electric guitar,0.880942165851593
A man is playing a guitar,A man is playing the electric guitar,0.874966025352478
A man is playing a guitar,A man is playing acoustic guitar,0.9187949895858765
A man is playing a guitar,A man is playing the acoustic guitar,0.9163095355033875
A man is playing a guitar,A man is performing with a guitar,0.8893734812736511
A man is playing a guitar,A man is performing with the guitar,0.8926457166671753
A man is playing a guitar,A musician is playing a guitar,0.8492223024368286
A man is playing a guitar,A musician is playing the guitar,0.8484041094779968
A man is playing a guitar,A man plays a guitar,0.9835942983627319
A man is playing a guitar,A man plays the guitar,0.9790498614311218
A man is playing a guitar,A man is holding a guitar and playing,0.9174677133560181
A man is playing a guitar,A man is plucking a guitar,0.7507607936859131
A man is playing a guitar,A man is playing music on a guitar,0.940601110458374
A man is playing a guitar,A man is playing music on the guitar,0.9421103000640869
A man is playing a guitar,A man is playing a song on the guitar,0.8996310830116272
A man is playing a guitar,A man is playing a tune on the guitar,0.8659650087356567
A man is playing a guitar,A man is using a guitar to play music,0.9551644325256348
A man is playing a guitar,A man is jamming on the guitar,0.7673321962356567
A man is playing a guitar,A man is jamming with a guitar,0.7669682502746582
A man is playing a guitar,A man is playing a solo on the guitar,0.7719552516937256
A man is playing a guitar,A man is playing chords on the guitar,0.8391996622085571
A man is playing a guitar,A man is playing riffs on a guitar,0.7681871652603149
A man is playing a guitar,A man is playing softly on a guitar,0.8058133125305176
A man is playing a guitar,A man is playing loudly on a guitar,0.7721095085144043
A man is playing a guitar,A man is playing blues on a guitar,0.7279529571533203
A man is playing a guitar,A man is playing jazz on a guitar,0.69373619556427
A man is playing a guitar,A man is playing rock music on a guitar,0.8273985385894775
A man is playing a guitar,A man is playing a melody on the guitar,0.8210108876228333
A man is playing a guitar,A man is playing the guitar in a room,0.7156862616539001
A man is playing a guitar,A man is playing the guitar outside,0.8634615540504456
A man is playing a guitar,A man is playing the guitar on stage,0.7612497806549072
A man is playing a guitar,A man is playing the guitar at a concert,0.73994380235672
A man is playing a guitar,A man is playing a guitar on the street,0.7541507482528687
A man is playing a guitar,A man is sitting and playing a guitar,0.8780458569526672
A man is playing a guitar,A man is standing and playing a guitar,0.8452267646789551
A man is playing a guitar,A man is casually playing a guitar,0.8973703384399414
A man is playing a guitar,A man is expertly playing the guitar,0.9062961935997009
A man is playing a guitar,A man is skillfully playing a guitar,0.9397426843643188
A man is playing a guitar,A man is gently playing a guitar,0.8523064255714417
A man is playing a guitar,A man is passionately playing the guitar,0.846587598323822
A man is playing a guitar,A man is happily playing a guitar,0.8490877747535706
A man is playing a guitar,A man is focused while playing the guitar,0.8592945337295532
A man is playing a guitar,A male guitarist is playing a guitar,0.8776813745498657
A man is playing a guitar,A male guitarist is playing the guitar,0.8660552501678467
A man is playing a guitar,A man is playing a guitar at home,0.7259855270385742
A man is playing a guitar,A man is playing a guitar in the park,0.6975449323654175
A man is playing a guitar,A man is playing guitar by the beach,0.7710924744606018
A man is playing a guitar,A man is playing a red guitar,0.8124553561210632
A man is playing a guitar,A man is playing a shiny guitar,0.8130556344985962
A man is playing a guitar,A man is playing a worn-out guitar,0.8132256865501404
A man is playing a guitar,A man is playing a vintage guitar,0.7856751680374146
A man is playing a guitar,A man is playing a new guitar,0.8172824382781982
A man is playing a guitar,A man is tuning and playing a guitar,0.8182042837142944
A man is playing a guitar,A man is learning to play the guitar,0.8255688548088074
A man is playing a guitar,A man is practicing with a guitar,0.8024997711181641
A man is playing a guitar,A man is rehearsing on the guitar,0.7381589412689209
A man is playing a guitar,A man is strumming chords on a guitar,0.6976234912872314
A man is playing a guitar,A man is fingerpicking on the guitar,0.7064988613128662
A man is playing a guitar,A man is using a pick to play the guitar,0.7591379284858704
A man is playing a guitar,A man is playing a guitar for fun,0.9150539636611938
A man is playing a guitar,A man is playing a guitar for an audience,0.7928529977798462
A man is playing a guitar,A man is playing a guitar to entertain,0.8941676616668701
A man is playing a guitar,A man is playing guitar for a crowd,0.7789596319198608
A man is playing a guitar,A man is playing guitar for a friend,0.7206764817237854
A man is playing a guitar,A man is playing guitar with emotion,0.8043583035469055
A man is playing a guitar,A man is playing guitar with intensity,0.8383252024650574
A man is playing a guitar,A man is playing guitar in the rain,0.6421235799789429
A man is playing a guitar,A man is playing guitar under the sun,0.6929931044578552
A man is playing a guitar,A man is playing guitar in the spotlight,0.744287371635437
A man is playing a guitar,A man is playing guitar in the background,0.8324819803237915
A man is playing a guitar,A man is recording while playing guitar,0.7881995439529419
A man is playing a guitar,A man is being filmed playing the guitar,0.7714677453041077
A man is playing a guitar,A man is playing guitar for a video,0.7831981778144836
A man is playing a guitar,A man is playing a song on his guitar,0.8965555429458618
A man is playing a guitar,A man is playing his favorite guitar,0.8479025363922119
A man is playing a guitar,A man is playing a familiar tune on guitar,0.7903183102607727
A man is playing a guitar,A man is playing music with a guitar,0.949073851108551
A man is playing a guitar,A man is lost in playing the guitar,0.7740649580955505
A man is playing a guitar,A man is immersed in guitar playing,0.879492998123169
A man is playing a guitar,A man is fully engaged playing guitar,0.8013356328010559
A man is playing a guitar,A man is improvising on the guitar,0.7653194665908813
A man is playing a guitar,A man is accompanying vocals on the guitar,0.6765103340148926
A man is playing a guitar,A man is playing rhythm guitar,0.8253166675567627
A man is playing a guitar,A man is playing lead guitar,0.7870491743087769
A man is playing a guitar,A man is playing the guitar with style,0.8934800624847412
A man is playing a guitar,A man is playing the guitar confidently,0.7874637246131897
A man is playing a guitar,A man is playing the guitar effortlessly,0.7746707201004028
A man is playing a guitar,A man is playing the guitar alone,0.735778272151947
A man is playing a guitar,A man is playing the guitar with others,0.7638732194900513
A man is playing a guitar,A man is playing the guitar in a band,0.7965704202651978
A man is playing a guitar,A man is playing the guitar next to a fire,0.6638217568397522
A man is playing a guitar,A man is playing the guitar near a window,0.7289231419563293
A man is playing the guitar,A man is playing a guitar,0.9925347566604614
A man is playing the guitar,A man is playing the guitar,1.0
A man is playing the guitar,A guy is playing a guitar,0.9176673889160156
A man is playing the guitar,A guy is playing the guitar,0.9192447066307068
A man is playing the guitar,The man is playing a guitar,0.9863821268081665
A man is playing the guitar,The man is playing the guitar,0.9842847585678101
A man is playing the guitar,A man is strumming a guitar,0.7954139709472656
A man is playing the guitar,A man is strumming the guitar,0.7935619354248047
A man is playing the guitar,A man is playing an electric guitar,0.8705663681030273
A man is playing the guitar,A man is playing the electric guitar,0.8746544122695923
A man is playing the guitar,A man is playing acoustic guitar,0.9083050489425659
A man is playing the guitar,A man is playing the acoustic guitar,0.9149490594863892
A man is playing the guitar,A man is performing with a guitar,0.8783575296401978
A man is playing the guitar,A man is performing with the guitar,0.8917739391326904
A man is playing the guitar,A musician is playing a guitar,0.8361411094665527
A man is playing the guitar,A musician is playing the guitar,0.8459509611129761
A man is playing the guitar,A man plays a guitar,0.9735099077224731
A man is playing the guitar,A man plays the guitar,0.981074333190918
A man is playing the guitar,A man is holding a guitar and playing,0.9064982533454895
A man is playing the guitar,A man is plucking a guitar,0.7416689395904541
A man is playing the guitar,A man is playing music on a guitar,0.9289110898971558
A man is playing the guitar,A man is playing music on the guitar,0.9421137571334839
A man is playing the guitar,A man is playing a song on the guitar,0.9006748199462891
A man is playing the guitar,A man is playing a tune on the guitar,0.8676687479019165
A man is playing the guitar,A man is using a guitar to play music,0.9405413866043091
A man is playing the guitar,A man is jamming on the guitar,0.7673492431640625
A man is playing the guitar,A man is jamming with a guitar,0.7557262182235718
A man is playing the guitar,A man is playing a solo on the guitar,0.7714701890945435
A man is playing the guitar,A man is playing chords on the guitar,0.843192458152771
A man is playing the guitar,A man is playing riffs on a guitar,0.7549861669540405
A man is playing the guitar,A man is playing softly on a guitar,0.7941727638244629
A man is playing the guitar,A man is playing loudly on a guitar,0.7620177268981934
A man is playing the guitar,A man is playing blues on a guitar,0.720538318157196
A man is playing the guitar,A man is playing jazz on a guitar,0.6787835359573364
A man is playing the guitar,A man is playing rock music on a guitar,0.8176538944244385
A man is playing the guitar,A man is playing a melody on the guitar,0.8230209350585938
A man is playing the guitar,A man is playing the guitar in a room,0.70527583360672
A man is playing the guitar,A man is playing the guitar outside,0.8644146919250488
A man is playing the guitar,A man is playing the guitar on stage,0.7695374488830566
A man is playing the guitar,A man is playing the guitar at a concert,0.7388488054275513
A man is playing the guitar,A man is playing a guitar on the street,0.7455213069915771
A man is playing the guitar,A man is sitting and playing a guitar,0.8694431185722351
A man is playing the guitar,A man is standing and playing a guitar,0.8373908996582031
A man is playing the guitar,A man is casually playing a guitar,0.8834689855575562
A man is playing the guitar,A man is expertly playing the guitar,0.9009490013122559
A man is playing the guitar,A man is skillfully playing a guitar,0.9245985746383667
A man is playing the guitar,A man is gently playing a guitar,0.841698169708252
A man is playing the guitar,A man is passionately playing the guitar,0.8446584343910217
A man is playing the guitar,A man is happily playing a guitar,0.8397516012191772
A man is playing the guitar,A man is focused while playing the guitar,0.8557876348495483
A man is playing the guitar,A male guitarist is playing a guitar,0.8748916983604431
A man is playing the guitar,A male guitarist is playing the guitar,0.8708940744400024
A man is playing the guitar,A man is playing a guitar at home,0.7226207256317139
A man is playing the guitar,A man is playing a guitar in the park,0.6907916069030762
A man is playing the guitar,A man is playing guitar by the beach,0.7822872996330261
A man is playing the guitar,A man is playing a red guitar,0.8059518933296204
A man is playing the guitar,A man is playing a shiny guitar,0.8015739917755127
A man is playing the guitar,A man is playing a worn-out guitar,0.8038339614868164
A man is playing the guitar,A man is playing a vintage guitar,0.7799926996231079
A man is playing the guitar,A man is playing a new guitar,0.811968982219696
A man is playing the guitar,A man is tuning and playing a guitar,0.8125464916229248
A man is playing the guitar,A man is learning to play the guitar,0.8284525871276855
A man is playing the guitar,A man is practicing with a guitar,0.7914220094680786
A man is playing the guitar,A man is rehearsing on the guitar,0.7357789278030396
A man is playing the guitar,A man is strumming chords on a guitar,0.7018470764160156
A man is playing the guitar,A man is fingerpicking on the guitar,0.7077186703681946
A man is playing the guitar,A man is using a pick to play the guitar,0.7572706937789917
A man is playing the guitar,A man is playing a guitar for fun,0.9057126045227051
A man is playing the guitar,A man is playing a guitar for an audience,0.7800353765487671
A man is playing the guitar,A man is playing a guitar to entertain,0.8796224594116211
A man is playing the guitar,A man is playing guitar for a crowd,0.7687702178955078
A man is playing the guitar,A man is playing guitar for a friend,0.7168067693710327
A man is playing the guitar,A man is playing guitar with emotion,0.7944247722625732
A man is playing the guitar,A man is playing guitar with intensity,0.8272871971130371
A man is playing the guitar,A man is playing guitar in the rain,0.6382414102554321
A man is playing the guitar,A man is playing guitar under the sun,0.6927973031997681
A man is playing the guitar,A man is playing guitar in the spotlight,0.7378506660461426
A man is playing the guitar,A man is playing guitar in the background,0.8277798891067505
A man is playing the guitar,A man is recording while playing guitar,0.7810359001159668
A man is playing the guitar,A man is being filmed playing the guitar,0.76173996925354
A man is playing the guitar,A man is playing guitar for a video,0.7716891765594482
A man is playing the guitar,A man is playing a song on his guitar,0.8953635096549988
A man is playing the guitar,A man is playing his favorite guitar,0.8497782945632935
A man is playing the guitar,A man is playing a familiar tune on guitar,0.7844148278236389
A man is playing the guitar,A man is playing music with a guitar,0.9350899457931519
A man is playing the guitar,A man is lost in playing the guitar,0.7771384716033936
A man is playing the guitar,A man is immersed in guitar playing,0.86066734790802
