sentence1,sentence2,similarity
He bought his first motorcycle at the age of eighteen.,He bought his first motorcycle at the age of eighteen.,1.0
He bought his first motorcycle at the age of eighteen.,The motorcycle sped past the traffic with a deafening roar.,0.36264568567276
He bought his first motorcycle at the age of eighteen.,She learned to ride a motorcycle before she could drive a car.,0.5625739097595215
He bought his first motorcycle at the age of eighteen.,"The old motorcycle still runs, though it rattles like a skeleton.",0.4674695134162903
He bought his first motorcycle at the age of eighteen.,They went on a cross-country motorcycle trip last summer.,0.3987805247306824
He bought his first motorcycle at the age of eighteen.,A black motorcycle stood parked outside the diner.,0.34116947650909424
He bought his first motorcycle at the age of eighteen.,The motorcycle leaned sharply as he turned the corner.,0.39161261916160583
He bought his first motorcycle at the age of eighteen.,His dream was to ride a motorcycle along the Pacific Coast Highway.,0.48956114053726196
He bought his first motorcycle at the age of eighteen.,The sound of the motorcycle echoed through the canyon.,0.3387119770050049
He bought his first motorcycle at the age of eighteen.,She revved the motorcycle and disappeared into the mist.,0.2889062762260437
He bought his first motorcycle at the age of eighteen.,That motorcycle is custom-built for racing.,0.44415849447250366
He bought his first motorcycle at the age of eighteen.,He wore a leather jacket to match his motorcycle.,0.5147497653961182
He bought his first motorcycle at the age of eighteen.,The motorcycle skidded slightly on the wet pavement.,0.38010382652282715
He bought his first motorcycle at the age of eighteen.,A sleek red motorcycle caught everyone's attention.,0.39393141865730286
He bought his first motorcycle at the age of eighteen.,They rode the motorcycle through winding mountain roads.,0.4235178232192993
He bought his first motorcycle at the age of eighteen.,The motorcycle’s engine purred like a content cat.,0.3475493788719177
He bought his first motorcycle at the age of eighteen.,He fell off the motorcycle but walked away unhurt.,0.38819628953933716
He bought his first motorcycle at the age of eighteen.,She prefers a motorcycle over a car any day.,0.4205116033554077
He bought his first motorcycle at the age of eighteen.,A gang of motorcycle riders roared into town.,0.2878209054470062
He bought his first motorcycle at the age of eighteen.,His motorcycle license had just arrived in the mail.,0.5844327211380005
He bought his first motorcycle at the age of eighteen.,The motorcycle had flame decals down the side.,0.4303092658519745
He bought his first motorcycle at the age of eighteen.,There was a motorcycle parked in every driveway.,0.4752209186553955
He bought his first motorcycle at the age of eighteen.,He sold his motorcycle to pay for college.,0.6369102597236633
He bought his first motorcycle at the age of eighteen.,A loud motorcycle backfired outside the window.,0.32939648628234863
He bought his first motorcycle at the age of eighteen.,She rode the motorcycle barefoot across the desert.,0.29685020446777344
He bought his first motorcycle at the age of eighteen.,The vintage motorcycle was worth a small fortune.,0.566582202911377
He bought his first motorcycle at the age of eighteen.,He kept his motorcycle polished to a mirror shine.,0.4690145254135132
He bought his first motorcycle at the age of eighteen.,The motorcycle club held weekly meetups downtown.,0.2628327012062073
He bought his first motorcycle at the age of eighteen.,They repaired the motorcycle together in the garage.,0.4441945552825928
He bought his first motorcycle at the age of eighteen.,The motorcycle helmet was decorated with stickers.,0.3790820837020874
He bought his first motorcycle at the age of eighteen.,That motorcycle can go from 0 to 60 in four seconds.,0.4254722595214844
He bought his first motorcycle at the age of eighteen.,He designed his own electric motorcycle prototype.,0.6043859720230103
He bought his first motorcycle at the age of eighteen.,The stolen motorcycle was found abandoned in the woods.,0.37127238512039185
He bought his first motorcycle at the age of eighteen.,I saw a dog riding in the sidecar of a motorcycle.,0.39279431104660034
He bought his first motorcycle at the age of eighteen.,The motorcycle rumbled as she turned the key.,0.3720760941505432
He bought his first motorcycle at the age of eighteen.,"It was his father's old motorcycle, restored to glory.",0.6284233927726746
He bought his first motorcycle at the age of eighteen.,A motorcycle zipped between lanes on the freeway.,0.3240814805030823
He bought his first motorcycle at the age of eighteen.,The motorcycle’s headlight lit up the foggy road.,0.3299837112426758
He bought his first motorcycle at the age of eighteen.,She received a motorcycle as a graduation gift.,0.4910457134246826
He bought his first motorcycle at the age of eighteen.,The motorcycle shop had a wall of shiny helmets.,0.3816910982131958
He bought his first motorcycle at the age of eighteen.,He bought a new motorcycle jacket with reinforced padding.,0.5326518416404724
He bought his first motorcycle at the age of eighteen.,The roar of the motorcycle startled the cat.,0.3554815948009491
He bought his first motorcycle at the age of eighteen.,She dreamed of traveling Europe on a motorcycle.,0.35048234462738037
He bought his first motorcycle at the age of eighteen.,A child pointed excitedly at the bright yellow motorcycle.,0.3675481677055359
He bought his first motorcycle at the age of eighteen.,The motorcycle slid out from under him on the ice.,0.43469512462615967
