sentence1,sentence2,similarity,is_similar
She rode her bicycle through the park every morning.,She rode her bicycle through the park every morning.,1.0000001192092896,True
She rode her bicycle through the park every morning.,The bicycle leaned against the old oak tree.,0.3126917779445648,False
She rode her bicycle through the park every morning.,He fixed a flat tire on his bicycle after school.,0.36048561334609985,False
She rode her bicycle through the park every morning.,The red bicycle was a birthday gift from his grandparents.,0.2329363226890564,False
She rode her bicycle through the park every morning.,They went on a bicycle tour across Europe.,0.27776384353637695,False
She rode her bicycle through the park every morning.,Her bicycle had a basket full of flowers.,0.5617167353630066,True
She rode her bicycle through the park every morning.,The bicycle chain slipped off during the uphill climb.,0.2422330677509308,False
She rode her bicycle through the park every morning.,He stored his bicycle in the garage next to the lawnmower.,0.36561083793640137,False
She rode her bicycle through the park every morning.,A new bicycle can be quite expensive.,0.20482990145683289,False
She rode her bicycle through the park every morning.,The child learned to ride a bicycle without training wheels.,0.3000386953353882,False
She rode her bicycle through the park every morning.,She bought a folding bicycle for her commute.,0.5193912982940674,True
She rode her bicycle through the park every morning.,The bicycle path follows the river all the way downtown.,0.4163408577442169,False
She rode her bicycle through the park every morning.,A bicycle bell rang from around the corner.,0.3254823088645935,False
She rode her bicycle through the park every morning.,His bicycle had glowing LED lights on the spokes.,0.2906495928764343,False
She rode her bicycle through the park every morning.,The stolen bicycle was found a week later.,0.34241676330566406,False
She rode her bicycle through the park every morning.,I rode my bicycle to the library.,0.4280206561088562,False
She rode her bicycle through the park every morning.,A bicycle repair shop opened near the university.,0.1796392798423767,False
She rode her bicycle through the park every morning.,The bicycle race drew a large crowd.,0.28104108572006226,False
She rode her bicycle through the park every morning.,He balanced carefully as he mounted the bicycle.,0.3717937469482422,False
She rode her bicycle through the park every morning.,The old bicycle had rust on the frame.,0.2908703684806824,False
She rode her bicycle through the park every morning.,She wore a helmet while riding her bicycle.,0.5744584798812866,True
She rode her bicycle through the park every morning.,A bicycle courier sped past us on the sidewalk.,0.28627416491508484,False
She rode her bicycle through the park every morning.,The tandem bicycle looked like a lot of fun.,0.2850423753261566,False
She rode her bicycle through the park every morning.,We rented bicycles and explored the countryside.,0.35906535387039185,False
