sentence1,sentence2,similarity,is_similar
He bought his first motorcycle at the age of eighteen.,He bought his first motorcycle at the age of eighteen.,1.0,True
He bought his first motorcycle at the age of eighteen.,The motorcycle sped past the traffic with a deafening roar.,0.36264568567276,False
He bought his first motorcycle at the age of eighteen.,She learned to ride a motorcycle before she could drive a car.,0.5625739097595215,True
He bought his first motorcycle at the age of eighteen.,"The old motorcycle still runs, though it rattles like a skeleton.",0.4674695134162903,False
He bought his first motorcycle at the age of eighteen.,They went on a cross-country motorcycle trip last summer.,0.3987805247306824,False
He bought his first motorcycle at the age of eighteen.,A black motorcycle stood parked outside the diner.,0.34116947650909424,False
He bought his first motorcycle at the age of eighteen.,The motorcycle leaned sharply as he turned the corner.,0.39161261916160583,False
He bought his first motorcycle at the age of eighteen.,His dream was to ride a motorcycle along the Pacific Coast Highway.,0.48956114053726196,False
He bought his first motorcycle at the age of eighteen.,The sound of the motorcycle echoed through the canyon.,0.3387119770050049,False
He bought his first motorcycle at the age of eighteen.,She revved the motorcycle and disappeared into the mist.,0.2889062762260437,False
He bought his first motorcycle at the age of eighteen.,That motorcycle is custom-built for racing.,0.44415849447250366,False
He bought his first motorcycle at the age of eighteen.,He wore a leather jacket to match his motorcycle.,0.5147497653961182,True
He bought his first motorcycle at the age of eighteen.,The motorcycle skidded slightly on the wet pavement.,0.38010382652282715,False
He bought his first motorcycle at the age of eighteen.,A sleek red motorcycle caught everyone's attention.,0.39393141865730286,False
He bought his first motorcycle at the age of eighteen.,They rode the motorcycle through winding mountain roads.,0.4235178232192993,False
He bought his first motorcycle at the age of eighteen.,The motorcycle’s engine purred like a content cat.,0.3475493788719177,False
He bought his first motorcycle at the age of eighteen.,He fell off the motorcycle but walked away unhurt.,0.38819628953933716,False
He bought his first motorcycle at the age of eighteen.,She prefers a motorcycle over a car any day.,0.4205116033554077,False
He bought his first motorcycle at the age of eighteen.,A gang of motorcycle riders roared into town.,0.2878209054470062,False
He bought his first motorcycle at the age of eighteen.,His motorcycle license had just arrived in the mail.,0.5844327211380005,True
He bought his first motorcycle at the age of eighteen.,The motorcycle had flame decals down the side.,0.4303092658519745,False
He bought his first motorcycle at the age of eighteen.,There was a motorcycle parked in every driveway.,0.4752209186553955,False
He bought his first motorcycle at the age of eighteen.,He sold his motorcycle to pay for college.,0.6369102597236633,True
He bought his first motorcycle at the age of eighteen.,A loud motorcycle backfired outside the window.,0.32939648628234863,False
He bought his first motorcycle at the age of eighteen.,She rode the motorcycle barefoot across the desert.,0.29685020446777344,False
He bought his first motorcycle at the age of eighteen.,The vintage motorcycle was worth a small fortune.,0.566582202911377,True
He bought his first motorcycle at the age of eighteen.,He kept his motorcycle polished to a mirror shine.,0.4690145254135132,False
He bought his first motorcycle at the age of eighteen.,The motorcycle club held weekly meetups downtown.,0.2628327012062073,False
He bought his first motorcycle at the age of eighteen.,They repaired the motorcycle together in the garage.,0.4441945552825928,False
He bought his first motorcycle at the age of eighteen.,The motorcycle helmet was decorated with stickers.,0.3790820837020874,False
He bought his first motorcycle at the age of eighteen.,That motorcycle can go from 0 to 60 in four seconds.,0.4254722595214844,False
He bought his first motorcycle at the age of eighteen.,He designed his own electric motorcycle prototype.,0.6043859720230103,True
He bought his first motorcycle at the age of eighteen.,The stolen motorcycle was found abandoned in the woods.,0.37127238512039185,False
He bought his first motorcycle at the age of eighteen.,I saw a dog riding in the sidecar of a motorcycle.,0.39279431104660034,False
He bought his first motorcycle at the age of eighteen.,The motorcycle rumbled as she turned the key.,0.3720760941505432,False
He bought his first motorcycle at the age of eighteen.,"It was his father's old motorcycle, restored to glory.",0.6284233927726746,True
He bought his first motorcycle at the age of eighteen.,A motorcycle zipped between lanes on the freeway.,0.3240814805030823,False
He bought his first motorcycle at the age of eighteen.,The motorcycle’s headlight lit up the foggy road.,0.3299837112426758,False
He bought his first motorcycle at the age of eighteen.,She received a motorcycle as a graduation gift.,0.4910457134246826,False
He bought his first motorcycle at the age of eighteen.,The motorcycle shop had a wall of shiny helmets.,0.3816910982131958,False
He bought his first motorcycle at the age of eighteen.,He bought a new motorcycle jacket with reinforced padding.,0.5326518416404724,True
He bought his first motorcycle at the age of eighteen.,The roar of the motorcycle startled the cat.,0.3554815948009491,False
He bought his first motorcycle at the age of eighteen.,She dreamed of traveling Europe on a motorcycle.,0.35048234462738037,False
He bought his first motorcycle at the age of eighteen.,A child pointed excitedly at the bright yellow motorcycle.,0.3675481677055359,False
He bought his first motorcycle at the age of eighteen.,The motorcycle slid out from under him on the ice.,0.43469512462615967,False
He bought his first motorcycle at the age of eighteen.,He rebuilt the motorcycle engine completely by himself.,0.4955878257751465,False
He bought his first motorcycle at the age of eighteen.,The motorcycle convoy stretched for half a mile.,0.3210897147655487,False
He bought his first motorcycle at the age of eighteen.,His father used to race motorcycles professionally.,0.5873361229896545,True
He bought his first motorcycle at the age of eighteen.,She was the only girl in the motorcycle stunt show.,0.3486284017562866,False
He bought his first motorcycle at the age of eighteen.,The motorcycle show drew a massive crowd.,0.25805234909057617,False
He bought his first motorcycle at the age of eighteen.,He wiped down the motorcycle after every ride.,0.5470277070999146,True
He bought his first motorcycle at the age of eighteen.,Her motorcycle gloves were lined with soft leather.,0.30340608954429626,False
He bought his first motorcycle at the age of eighteen.,That motorcycle can outrun most sports cars.,0.4340924620628357,False
He bought his first motorcycle at the age of eighteen.,He felt most alive on the back of a motorcycle.,0.47607386112213135,False
He bought his first motorcycle at the age of eighteen.,The motorcycle's exhaust rattled the windows.,0.369947612285614,False
He bought his first motorcycle at the age of eighteen.,The motorcycle tour covered five national parks.,0.270385205745697,False
He bought his first motorcycle at the age of eighteen.,A license plate hung loosely on the motorcycle.,0.322927862405777,False
He bought his first motorcycle at the age of eighteen.,Her hair whipped wildly as the motorcycle gained speed.,0.3939453959465027,False
He bought his first motorcycle at the age of eighteen.,The motorcycle exhibition featured bikes from every decade.,0.4701692461967468,False
He bought his first motorcycle at the age of eighteen.,He lost control of the motorcycle on the sharp curve.,0.4885343909263611,False
He bought his first motorcycle at the age of eighteen.,The motorcycle was his pride and joy.,0.5901464819908142,True
He bought his first motorcycle at the age of eighteen.,She revved the motorcycle just to hear it growl.,0.3751583695411682,False
He bought his first motorcycle at the age of eighteen.,His garage was filled with motorcycle parts and tools.,0.5742689371109009,True
He bought his first motorcycle at the age of eighteen.,A bright neon motorcycle sign lit up the bar.,0.28130874037742615,False
He bought his first motorcycle at the age of eighteen.,The motorcycle lane was clogged with morning traffic.,0.23621973395347595,False
He bought his first motorcycle at the age of eighteen.,He carried his gear in motorcycle saddlebags.,0.538556694984436,True
He bought his first motorcycle at the age of eighteen.,A motorcycle cop pulled them over for speeding.,0.33569449186325073,False
He bought his first motorcycle at the age of eighteen.,The motorcycle rally raised money for veterans.,0.3439503312110901,False
He bought his first motorcycle at the age of eighteen.,He watched the sunset from his parked motorcycle.,0.4602535367012024,False
He bought his first motorcycle at the age of eighteen.,Her motorcycle boots clicked against the pavement.,0.29650574922561646,False
He bought his first motorcycle at the age of eighteen.,The motorcycle café was a popular biker hangout.,0.3826499581336975,False
He bought his first motorcycle at the age of eighteen.,He covered the motorcycle before the rain started.,0.508094847202301,True
He bought his first motorcycle at the age of eighteen.,A custom paint job gave the motorcycle personality.,0.497965544462204,False
He bought his first motorcycle at the age of eighteen.,The motorcycle growled as he twisted the throttle.,0.4289388060569763,False
He bought his first motorcycle at the age of eighteen.,She loved the freedom her motorcycle gave her.,0.4184095859527588,False
He bought his first motorcycle at the age of eighteen.,The motorcycle broke down in the middle of nowhere.,0.42843544483184814,False
He bought his first motorcycle at the age of eighteen.,They posed for a photo next to the motorcycle.,0.3359317183494568,False
He bought his first motorcycle at the age of eighteen.,He surprised her with a motorcycle ride along the coast.,0.3961896300315857,False
He bought his first motorcycle at the age of eighteen.,The motorcycle engine sputtered before coming to life.,0.40002667903900146,False
He bought his first motorcycle at the age of eighteen.,A line of motorcycle headlights pierced the night.,0.31248247623443604,False
He bought his first motorcycle at the age of eighteen.,His first motorcycle was a rusty old Honda.,0.6974737644195557,True
He bought his first motorcycle at the age of eighteen.,The motorcycle drifted sideways in the dirt.,0.39857369661331177,False
He bought his first motorcycle at the age of eighteen.,A trail of dust followed the speeding motorcycle.,0.40611642599105835,False
He bought his first motorcycle at the age of eighteen.,He stashed tools in a hidden motorcycle compartment.,0.4520847499370575,False
He bought his first motorcycle at the age of eighteen.,The motorcycle accident was all over the news.,0.35391712188720703,False
He bought his first motorcycle at the age of eighteen.,Her motorcycle had a vintage charm that turned heads.,0.44571220874786377,False
He bought his first motorcycle at the age of eighteen.,The motorcycle flew over the ramp in a perfect arc.,0.3483104705810547,False
He bought his first motorcycle at the age of eighteen.,He kept a miniature motorcycle model on his desk.,0.47133344411849976,False
He bought his first motorcycle at the age of eighteen.,The motorcycle’s paint job reflected the desert sun.,0.344940185546875,False
He bought his first motorcycle at the age of eighteen.,She used her motorcycle to commute every day.,0.3915253281593323,False
He bought his first motorcycle at the age of eighteen.,A rider popped a wheelie on his motorcycle downtown.,0.414789080619812,False
He bought his first motorcycle at the age of eighteen.,The motorcycle chain needed to be tightened.,0.3833646774291992,False
He bought his first motorcycle at the age of eighteen.,His motorcycle gloves smelled like oil and leather.,0.4258517026901245,False
He bought his first motorcycle at the age of eighteen.,The motorcycle tire left a streak on the gravel.,0.3353482186794281,False
He bought his first motorcycle at the age of eighteen.,She built her motorcycle from scratch.,0.47030091285705566,False
He bought his first motorcycle at the age of eighteen.,He heard a motorcycle rumbling in the distance.,0.4844285249710083,False
He bought his first motorcycle at the age of eighteen.,The motorcycle hugged every curve of the winding road.,0.3566785752773285,False
He bought his first motorcycle at the age of eighteen.,Her motorcycle was faster than it looked.,0.41842636466026306,False
He bought his first motorcycle at the age of eighteen.,They raced their motorcycles across the salt flats.,0.3688812553882599,False
He bought his first motorcycle at the age of eighteen.,"The motorcycle disappeared over the hill, leaving only dust behind.",0.2992163896560669,False
The motorcycle sped past the traffic with a deafening roar.,He bought his first motorcycle at the age of eighteen.,0.36264568567276,False
The motorcycle sped past the traffic with a deafening roar.,The motorcycle sped past the traffic with a deafening roar.,1.0,True
The motorcycle sped past the traffic with a deafening roar.,She learned to ride a motorcycle before she could drive a car.,0.4314776659011841,False
The motorcycle sped past the traffic with a deafening roar.,"The old motorcycle still runs, though it rattles like a skeleton.",0.4689491391181946,False
The motorcycle sped past the traffic with a deafening roar.,They went on a cross-country motorcycle trip last summer.,0.2992233633995056,False
The motorcycle sped past the traffic with a deafening roar.,A black motorcycle stood parked outside the diner.,0.3613664507865906,False
